path,example_value,type,MIO=keep in EcoTaxa,Lotty=keep in EcoTaxa,CEFAS=keep in EcoTaxa,SYKE=keep in EcoTaxa,LOG =keep in EcoTaxa,explanation,Comments
instrument.measurementSettings.CytoSettings.IIFRoiName,,[f],True,True,FALSE,True,False,Region of interest name (usually a few options there),
instrument.measurementSettings.CytoSettings.MultiSampler,FALSE,[b],False,False,FALSE,False,False,multisampler option (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.MultiSamplerValve,0,[f],False,False,FALSE,False,False,different multisampler options,
instrument.measurementSettings.CytoSettings.MultiSamplerPrime,FALSE,[b],False,False,FALSE,False,False,different multisampler options,
instrument.measurementSettings.CytoSettings.MultiSamplerClean,FALSE,[b],False,False,FALSE,False,False,different multisampler options,
instrument.measurementSettings.CytoSettings.CytoSelector,FALSE,[b],False,False,FALSE,False,False,Is  aCytoselector (multipoint selector) used or not?,
instrument.measurementSettings.CytoSettings.UseStainingModule,FALSE,[b],False,False,FALSE,False,False,use of staining module (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.CleanStainingModuleAfterwards,FALSE,[b],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.CleanStainingModuleAfterwardsIncludeSamplePump,FALSE,[b],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.IncludeUnstainedMeasurement,FALSE,[b],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.UseExternalStaining,FALSE,[b],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.StainIncubateSeconds,-1,[f],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.StainFlushWhileIncubate,FALSE,[b],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.StainDyeInjectAmount,-1,[f],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.InjectDye1,FALSE,[b],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.Dye1Amount,-1,[f],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.InjectDye2,FALSE,[b],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.Dye2Amount,-1,[f],False,False,FALSE,False,False,different staining module options,
instrument.measurementSettings.CytoSettings.UseDps,FALSE,[b],False,False,FALSE,False,False,Use a depth profiling system when measuring.,
instrument.measurementSettings.CytoSettings.Depth,0,[f],False,False,FALSE,False,False,"The depth this measurement was made on, using the Depth Profiling system.",
instrument.measurementSettings.CytoSettings.DepthProfileString,,[f],False,False,FALSE,False,False,A command seperated list of all depths this measurement should be run at.,
instrument.measurementSettings.CytoSettings.SegmentedDatafile,TRUE,[b],False,False,FALSE,False,False,Indicates that this data file has segmented structure.,
instrument.measurementSettings.CytoSettings.EnableExport,FALSE,[b],False,False,FALSE,False,False,checked box: automatically exports ,
instrument.measurementSettings.CytoSettings.ExportSettings.delimiter,;,[t],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.TimeExportMode,2,[f],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ConfigurationeDate,2001-01-01 00:00:00,[d],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.AppendStatisticsFile,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Summary,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.RawPulseShapes_csv,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.RawPulseShapes_mat,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ListMode_csv,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ListMode_mat,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ListMode_fcs,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.AdditionalListMode_csv,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.SensorLogs,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIF,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.MeansPerSetPerFile,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.CYZFile,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.NotifySetting,0,[f],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageGenerate,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageShowScalebar,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageShowId,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageMaxWidth,16384,[f],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageMaxHeight,16384,[f],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageExportType,b96b3cae-0728-11d3-9d7b-0000f81ef32e,[t],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.GpsLog,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ListmodeExport,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIFImageFormatType,b96b3cae-0728-11d3-9d7b-0000f81ef32e,[t],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIFZipfile,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIFCropped,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIFCroppedWithScalebar,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIFUncropped,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIFUncroppedWithScalebar,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIFBackgroundImage,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Statistics_csv,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Statistics_mat,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Statistics_min,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Statistics_max,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Statistics_mean,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Statistics_SD,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Statistics_Total,FALSE,[b],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Smoothing,0,[f],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.nTasks,0,[f],False,False,FALSE,False,False,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.CytoSettings.name,MIO - La Physat,[t],False,False,FALSE,False,False,name of the instrument (already in first few lines),
instrument.measurementSettings.CytoSettings.CytoSettings.thresholdPCT,"0,5",[t],False,False,FALSE,False,False,,
instrument.measurementSettings.CytoSettings.CytoSettings.hasSubmode,FALSE,[b],False,False,FALSE,False,False,Is the instrument a Deep sub or not.,
instrument.measurementSettings.CytoSettings.CytoSettings.isSorter,FALSE,[b],False,False,FALSE,False,False,Is the instrument  a sorter (This variant does not exist anymore).,
