path,example_value,MIO=keep in EcoTaxa,Lotty=keep in EcoTaxa,CEFAS=keep in EcoTaxa,SYKE=keep in EcoTaxa,LOG =keep in EcoTaxa,explanation,Comments
instrument.measurementSettings.CytoSettings.ChannelDataConversion2,2,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion3,2,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion4,2,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion5,2,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.TriggerLevelByte1e,50,FALSE,FALSE,FALSE,FALSE,FALSE,"Byte values for the trigger levels, these are the underlying values that match the mV values reported earlier.",
instrument.measurementSettings.CytoSettings.TriggerLevelByte2e,50,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.StopafterTimertext,1200,TRUE,TRUE,TRUE,TRUE,FALSE,"Stop condition, based on acquisition duration (in seconds)","best practice warning - check if it follows the Consortium of imaging protocol
NOTE: All the ones that end in ""String"" are just string representation of the normal values, only for ease of access in some parts of the software."
instrument.measurementSettings.CytoSettings.MaxNumberParticleText,1000,TRUE,TRUE,TRUE,TRUE,FALSE,Stop condition that can be combined with previous stop condition (time). Unclear if it's a total number of particle?,
instrument.measurementSettings.CytoSettings.StopAtParticles,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Stop condition, based on max number of particles (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtParticlesString,-,TRUE,TRUE,?,TRUE,FALSE,"If previous is TRUE, speficies the number of particles.",
instrument.measurementSettings.CytoSettings.MaxAnalysedVolume,0,TRUE,TRUE,TRUE,TRUE,FALSE,"Stop condition, based on max analysed volume (in µl)",
instrument.measurementSettings.CytoSettings.StopAtAnalysedVolume,FALSE,TRUE,TRUE,?,TRUE,FALSE,"Stop condition, based on max analysed volume (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtAnalysedVolumeString,-,TRUE,TRUE,?,TRUE,FALSE,"If previous is TRUE, speficies max anaylsed volume value",
instrument.measurementSettings.CytoSettings.MaxPumpedVolume,0,TRUE,TRUE,FALSE,TRUE,FALSE,"Stop condition, based on max pumped volume (in µl)",
instrument.measurementSettings.CytoSettings.StopAtPumpedVolume,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"Stop condition, based on max pumped volume (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtPumpedVolumeString,-,TRUE,TRUE,FALSE,TRUE,FALSE,"If previous is TRUE, specifies max pumped volume value",
instrument.measurementSettings.CytoSettings.MaxNumberFotoText,1000,TRUE,TRUE,TRUE,TRUE,FALSE,"Stop condition, based on max number of images ",
instrument.measurementSettings.CytoSettings.StopAtFotos,TRUE,TRUE,TRUE,?,TRUE,FALSE,"Stop condition, based on max number of images  (TRUE/FALSE)",
instrument.measurementSettings.CytoSettings.StopAtFotosString,1000,TRUE,TRUE,?,TRUE,FALSE,"If previous is TRUE, specifies max max number of images ",
instrument.measurementSettings.CytoSettings.StopAfterTime,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Stop condition, based on acquisition duration (TRUE/FALSE) --> related to line 50",
instrument.measurementSettings.CytoSettings.SaveTextbox,C:\Users\Cyto\Documents\My CytoSense\Datafiles\SOTROC\Image-optimisation\20250213,FALSE,FALSE,FALSE,FALSE,FALSE,where file is saved locally,
instrument.measurementSettings.CytoSettings.FlushCheck,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,check box: flush,
instrument.measurementSettings.CytoSettings.TellCheck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"check box : Yes, the speak when doen function.",
instrument.measurementSettings.CytoSettings.IsBackgroundOnly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"check box: Special measurement only doing background measurements, not used.",
instrument.measurementSettings.CytoSettings.IIFCheck,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,check box: Image in flow enabled for this measurement.,
instrument.measurementSettings.CytoSettings.GVCheck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,check box: Gas Vacuole measurent.  Very old leftover from a device that no longer exists.,
instrument.measurementSettings.CytoSettings.BSTCheck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Beads/Sheat/Toxin, old version of accessory to add extra biocide and beads.",
instrument.measurementSettings.CytoSettings.repeat,3,FALSE,FALSE,FALSE,FALSE,FALSE,Number of times the protocol is repeated,
instrument.measurementSettings.CytoSettings.BlockSize,0,FALSE,FALSE,FALSE,FALSE,FALSE,Old devices (serial <85) have a blocksize setting used for transfering data.,
instrument.measurementSettings.CytoSettings.BlockSize_str,-,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.PMTlevels,SzdLS0tLS1A=,FALSE,FALSE,FALSE,FALSE,FALSE,Raw byte values for PMT settings.,
instrument.measurementSettings.CytoSettings.PMTlevelsString,"[55 (25x),80 (192x),75 (366x)]",FALSE,FALSE,FALSE,FALSE,FALSE,PMT sensitivity values + amplification levels - String representation,
instrument.measurementSettings.CytoSettings.PMTlevels_str,"SWS: 55 (25x), Fl Yellow: 80 (192x), FL Red: 75 (366x)",TRUE,TRUE,TRUE,TRUE,FALSE,"PMT sensitivity values + channel specified (SWS, FLO, FLY, FLR)",
instrument.measurementSettings.CytoSettings.PMTLevelPreset,Low sensitivity,TRUE,TRUE,TRUE,TRUE,FALSE,PMT Level Preset (low/medium/high),
instrument.measurementSettings.CytoSettings.Subfolder,,FALSE,FALSE,FALSE,FALSE,FALSE,"creates a subfolder where file is saved locally, if speficied in protocol",
instrument.measurementSettings.CytoSettings.UserRemarks,,FALSE,FALSE,FALSE,TRUE,FALSE,comments that can be added while creating the protocol,
instrument.measurementSettings.CytoSettings.AutoBlockSize,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Transfer blocksize for old instruments ( serial < 85),
instrument.measurementSettings.CytoSettings.MaxTimeOut,NaN,FALSE,FALSE,FALSE,FALSE,FALSE,"Maximum time CytoUsb waits for a block of data, (serial < 85)",
instrument.measurementSettings.CytoSettings.AdaptiveMaxTimeOut,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Indicates the timeout will be adjusted automatically based on particle rate. (serial < 85),
instrument.measurementSettings.CytoSettings.MaxTimeOut_str,Auto,FALSE,FALSE,FALSE,FALSE,FALSE,,pour les vieux instruments
instrument.measurementSettings.CytoSettings.SeperateConcentration,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Do a sepreate concentration measurement before the actual measurement.,
instrument.measurementSettings.CytoSettings.AdaptiveSamplePumpSpeed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Change the sample pump speed based on the preconcentration if the particle rate is to high.,
instrument.measurementSettings.CytoSettings.MeasureNoiseLevels,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"background noise levels- Do a short measurement without particles, to see what the signal coming from the detectors is when there are no particles.",
instrument.measurementSettings.CytoSettings.CalibrateCamera,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Difficult way to say that the system should take a background image (a picture when there are no particles in the flow cell.  This is used for object detection.),JO was talking at the beginning about it and more recently he say not need-check with him
instrument.measurementSettings.CytoSettings.TriggerChannelArray1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.TriggerChannelArray5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Array of booleans, set to true when the trigger for that channel should be active.",
instrument.measurementSettings.CytoSettings.LowCheck1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Some old instruments do not PMTs that can be changed from software. And for some you have 2 options, a hich sensitivity one and a low sensitivity one. Here you can select which of the two options you want. This is very old and can be ignored. There are not many (If any) instruments for which this applies.",I do not know because I do not have low and high with my old one
instrument.measurementSettings.CytoSettings.LowCheck2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.LowCheck3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.LowCheck4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.LowCheck5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.LowCheck6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.LowCheck7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.LowCheck8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
instrument.measurementSettings.CytoSettings.IIFParameters.Filedate,2001-01-01 00:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,"Relates to the IIF Target file, if one is used.",
instrument.measurementSettings.CytoSettings.IIFParameters.CoreSpeed,0,FALSE,FALSE,FALSE,FALSE,FALSE,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.BeamWidth,0,FALSE,FALSE,FALSE,FALSE,FALSE,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.Curvature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.SelectOnCurvature,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.CurvatureLowerTolerance,0,FALSE,FALSE,FALSE,FALSE,FALSE,Not used,
instrument.measurementSettings.CytoSettings.IIFParameters.CurvatureUpperTolerance,0,FALSE,FALSE,FALSE,FALSE,FALSE,Not used,
instrument.measurementSettings.CytoSettings.SelectedIifMode,Set Definition IIF,FALSE,FALSE,FALSE,FALSE,FALSE,"This is a combination, based on all the booleans below.",
instrument.measurementSettings.CytoSettings.IIFuseTargetAll,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Imaging mode: target all (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.IIFuseTargetRange,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Imaging mode: target range (with a single set) (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.IIFuseSmartGrid,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Imaging mode: smart grid (TRUE/FASLE),if true file rejected ?
instrument.measurementSettings.CytoSettings.SmartGrid_str,,TRUE,FALSE,TRUE,TRUE,FALSE,"Same as line above, only a string instead of a boolean.",
instrument.measurementSettings.CytoSettings.IifSmartGridChannelIds1,3,TRUE,FALSE,TRUE,TRUE,FALSE,Which smargrid channels to use.,
instrument.measurementSettings.CytoSettings.IifSmartGridChannelIds2,4,TRUE,FALSE,TRUE,TRUE,FALSE,Which smargrid channels to use.,
instrument.measurementSettings.CytoSettings.IIFuseFreeFormSelection,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.channelX_ID,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ParameterX_ID,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.StapX,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ResolutionX,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ScaleX,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.channelY_ID,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ParameterY_ID,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.StapY,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ResolutionY,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ScaleY,0,FALSE,FALSE,FALSE,FALSE,FALSE,"Not implemented, ignore.",
instrument.measurementSettings.CytoSettings.IIFRestrictFwsRange,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,checked box if you restrict FWS ratio (TRUE/FALSE),if true rejected  ?
instrument.measurementSettings.CytoSettings.IIFFwsRatioMin,"0,1",TRUE,TRUE,FALSE,TRUE,FALSE,minimum FWS ratio (to keep if TRUE),
instrument.measurementSettings.CytoSettings.IIFFwsRatioMax,10,TRUE,TRUE,FALSE,TRUE,FALSE,maximum FWS ratio (to keep if TRUE),
instrument.measurementSettings.CytoSettings.IIFFwsRatioRangeCalibration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A special measurment used to find the min/max values for FWS, not used anymore.",
instrument.measurementSettings.CytoSettings.IIFPhotographLargeParticles,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Very large particles are hard to capture via the PC because the take a lot of time to transfer. With this setting the hardware will automatically take a picture of anything above 500 micrometer.,
instrument.measurementSettings.CytoSettings.IIFUseSetDefintionSelector,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"checked box if you choose the ""Set Definition"" imaging protocol (TRUE/FALSE)",if false validate smart TRIGGER values dedicated to Micro cells ?
instrument.measurementSettings.CytoSettings.IIFSetDefintionFileName,C:\Users\Cyto\Documents\My CytoSense\Settings\SetLists\PMTLOWRedMicrob.xml,TRUE,TRUE,FALSE,TRUE,FALSE,name of the definition set (.xml),
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.SetId,1,FALSE,FALSE,FALSE,FALSE,FALSE,ID of the definition set,"These values are repeated for every set in the set definition that was lladed, so they will be present multiple times."
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.WantImages,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,do you want picture for the said definition set (TRUE/FALSE),"These values are repeated for every set in the set definition that was lladed, so they will be present multiple times."
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.NumberOfImages,1000,TRUE,TRUE,FALSE,TRUE,FALSE,"if previous is TRUE, how many pictures","These values are repeated for every set in the set definition that was lladed, so they will be present multiple times."
instrument.measurementSettings.CytoSettings.IIFRoiName,,TRUE,TRUE,FALSE,TRUE,FALSE,Region of interest name (usually a few options there),
instrument.measurementSettings.CytoSettings.MultiSampler,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,multisampler option (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.MultiSamplerValve,0,FALSE,FALSE,FALSE,FALSE,FALSE,different multisampler options,
instrument.measurementSettings.CytoSettings.MultiSamplerPrime,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different multisampler options,
instrument.measurementSettings.CytoSettings.MultiSamplerClean,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different multisampler options,
instrument.measurementSettings.CytoSettings.CytoSelector,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Is  aCytoselector (multipoint selector) used or not?,
instrument.measurementSettings.CytoSettings.UseStainingModule,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,use of staining module (TRUE/FALSE),
instrument.measurementSettings.CytoSettings.CleanStainingModuleAfterwards,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.CleanStainingModuleAfterwardsIncludeSamplePump,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.IncludeUnstainedMeasurement,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.UseExternalStaining,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.StainIncubateSeconds,-1,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.StainFlushWhileIncubate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.StainDyeInjectAmount,-1,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.InjectDye1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.Dye1Amount,-1,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.InjectDye2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.Dye2Amount,-1,FALSE,FALSE,FALSE,FALSE,FALSE,different staining module options,
instrument.measurementSettings.CytoSettings.UseDps,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Use a depth profiling system when measuring.,
instrument.measurementSettings.CytoSettings.Depth,0,FALSE,FALSE,FALSE,FALSE,FALSE,"The depth this measurement was made on, using the Depth Profiling system.",
instrument.measurementSettings.CytoSettings.DepthProfileString,,FALSE,FALSE,FALSE,FALSE,FALSE,A command seperated list of all depths this measurement should be run at.,
instrument.measurementSettings.CytoSettings.SegmentedDatafile,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Indicates that this data file has segmented structure.,
instrument.measurementSettings.CytoSettings.EnableExport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,checked box: automatically exports ,
instrument.measurementSettings.CytoSettings.ExportSettings.delimiter,;,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.TimeExportMode,2,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ConfigurationeDate,2001-01-01 00:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.AppendStatisticsFile,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.Summary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.RawPulseShapes_csv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.RawPulseShapes_mat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ListMode_csv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ListMode_mat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.ListMode_fcs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.AdditionalListMode_csv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.SensorLogs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.IIF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.MeansPerSetPerFile,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.CYZFile,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.NotifySetting,0,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageGenerate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageShowScalebar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageShowId,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageMaxWidth,16384,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
instrument.measurementSettings.CytoSettings.ExportSettings.OverViewImageMaxHeight,16384,FALSE,FALSE,FALSE,FALSE,FALSE,automatic export options - not relevant to imaging,
