path,name,example_value,type,transform,MIO=keep in EcoTaxa,Lotty=keep in EcoTaxa,CEFAS=keep in EcoTaxa,SYKE=keep in EcoTaxa,LOG =keep in EcoTaxa,explanation,Comments,bioODV.subject,bioODV.object,bioODV.units
instrument.measurementSettings.CytoSettings.release.ReleaseDate,ReleaseDate,2013-04-23 00:00:00,[d],"[extract_date_utc,extract_time_utc]",False,False,FALSE,False,False,"Change data of that structure in the datafile, some parts have this, so we can detect if they are an older version when loading.",nan,,,
instrument.measurementSettings.CytoSettings.Progress,Progress,0,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.RepeatID,RepeatID,1,[f],None,False,False,FALSE,False,False,"In the measurement settings you can specify that a measurement should be repeated multiple times.  The first one is 1, the second is 2, etc.",nan,,,
instrument.measurementSettings.CytoSettings.CytoSelectorTrayID,CytoSelectorTrayID,0,[f],None,False,False,FALSE,False,False,"A selector is an accessory, where you can select between different beakers/samples, and this indicates which input was sampled from.",nan,,,
instrument.measurementSettings.CytoSettings.Enabled,Enabled,TRUE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Is the measurement enabled or not, will always be true because we only run enabled measurements.",nan,,,
instrument.measurementSettings.CytoSettings.TabName,TabName,SWS250-setFLRMax50-1000im-PMTlow,[t],None,True,True,TRUE,False,False,Name of the file without the timestamp,nan,,,
instrument.measurementSettings.CytoSettings.SamplePumpSpeedSetting,SamplePumpSpeedSetting,58,[f],None,False,False,FALSE,False,False,Byte value for the speed as it is sent to the hardware.,nan,,,
instrument.measurementSettings.CytoSettings.SamplePompSpeed,SamplePompSpeed,"4,06",[d],"[extract_date_utc,extract_time_utc]",True,True,TRUE,True,False,"sample pump speed (in µl/s), useful for analysed volume",nan,,,
instrument.measurementSettings.CytoSettings.ConfiguredSamplePumpSpeedSetting,ConfiguredSamplePumpSpeedSetting,58,[f],None,False,False,FALSE,False,False,unsure of the difference with previous two categories,nan,,,
instrument.measurementSettings.CytoSettings.ConfiguredSamplePompSpeed,ConfiguredSamplePompSpeed,"4,06",[d],"[extract_date_utc,extract_time_utc]",False,False,FALSE,False,False,"The original value configured in CytoUSB, cytousb can adjust this e.g. if the particle rate is to high.  The adjusted one is stored as the SamplePompSpeed.",nan,,,
instrument.measurementSettings.CytoSettings.LimitParticleRate,LimitParticleRate,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,False,?,False,False,setting that allows you to limit the number of particles per second (e.g. when you have a concentrated sample). TRUE/FALSE,Inever work with this feature,,,
instrument.measurementSettings.CytoSettings.MaxParticleRate,MaxParticleRate,5000,[f],None,False,False,FALSE,False,False,"if previous setting is actived (TRUE), then max particle rate being requested by user",nan,,,
instrument.measurementSettings.CytoSettings.EnableMinimumAutoSpeed,EnableMinimumAutoSpeed,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,Indicates that the mimimum sample pump speed setting is active.  The system will not reduce the speed below this setting.,nan,,,
instrument.measurementSettings.CytoSettings.MinimumAutoSpeedSetting,MinimumAutoSpeedSetting,1,[f],None,False,False,FALSE,False,False,The byte value to be sent to the hardware that matches the specified speed.,nan,,,
instrument.measurementSettings.CytoSettings.MinimumAutoSpeed,MinimumAutoSpeed,"0,07",[t],None,False,False,FALSE,False,False,is activated when minimum particle rate setting is activated. sets a minimal sample pump speed ,nan,,,
instrument.measurementSettings.CytoSettings.TriggerLevel1e,TriggerLevel1e,250,[f],None,True,True,TRUE,True,False,main trigger level,nan,,,
instrument.measurementSettings.CytoSettings.TriggerChannel,TriggerChannel,SWS,[t],None,True,True,TRUE,True,False,main trigger channel (most often FLR or SWS),"This is a comma seperated list of ALL selected trigger channels, usually one, but in theory it can be multiple.",,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ1,TriggerLevelsFJ1,240,[f],None,False,False,FALSE,False,False,This is an array with a trigger level settings for each channel. You can check the trigger channel property to see which channel is used. ,nan,,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ2,TriggerLevelsFJ2,240,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ3,TriggerLevelsFJ3,2000,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ4,TriggerLevelsFJ4,240,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.TriggerLevelsFJ5,TriggerLevelsFJ5,2000,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion1,ChannelDataConversion1,2,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion2,ChannelDataConversion2,2,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion3,ChannelDataConversion3,2,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion4,ChannelDataConversion4,2,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.ChannelDataConversion5,ChannelDataConversion5,2,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.TriggerLevelByte1e,TriggerLevelByte1e,50,[f],None,False,False,FALSE,False,False,"Byte values for the trigger levels, these are the underlying values that match the mV values reported earlier.",nan,,,
instrument.measurementSettings.CytoSettings.TriggerLevelByte2e,TriggerLevelByte2e,50,[f],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.StopafterTimertext,StopafterTimertext,1200,[f],None,True,True,TRUE,True,False,"Stop condition, based on acquisition duration (in seconds)","best practice warning - check if it follows the Consortium of imaging protocol
NOTE: All the ones that end in ""String"" are just string representation of the normal values, only for ease of access in some parts of the software.",,,
instrument.measurementSettings.CytoSettings.MaxNumberParticleText,MaxNumberParticleText,1000,[f],None,True,True,TRUE,True,False,Stop condition that can be combined with previous stop condition (time). Unclear if it's a total number of particle?,nan,,,
instrument.measurementSettings.CytoSettings.StopAtParticles,StopAtParticles,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,TRUE,True,False,"Stop condition, based on max number of particles (TRUE/FALSE)",nan,,,
instrument.measurementSettings.CytoSettings.StopAtParticlesString,StopAtParticlesString,-,[t],None,True,True,?,True,False,"If previous is TRUE, speficies the number of particles.",nan,,,
instrument.measurementSettings.CytoSettings.MaxAnalysedVolume,MaxAnalysedVolume,0,[f],None,True,True,TRUE,True,False,"Stop condition, based on max analysed volume (in µl)",nan,,,
instrument.measurementSettings.CytoSettings.StopAtAnalysedVolume,StopAtAnalysedVolume,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,?,True,False,"Stop condition, based on max analysed volume (TRUE/FALSE)",nan,,,
instrument.measurementSettings.CytoSettings.StopAtAnalysedVolumeString,StopAtAnalysedVolumeString,-,[t],None,True,True,?,True,False,"If previous is TRUE, speficies max anaylsed volume value",nan,,,
instrument.measurementSettings.CytoSettings.MaxPumpedVolume,MaxPumpedVolume,0,[f],None,True,True,FALSE,True,False,"Stop condition, based on max pumped volume (in µl)",nan,,,
instrument.measurementSettings.CytoSettings.StopAtPumpedVolume,StopAtPumpedVolume,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,FALSE,True,False,"Stop condition, based on max pumped volume (TRUE/FALSE)",nan,,,
instrument.measurementSettings.CytoSettings.StopAtPumpedVolumeString,StopAtPumpedVolumeString,-,[t],None,True,True,FALSE,True,False,"If previous is TRUE, specifies max pumped volume value",nan,,,
instrument.measurementSettings.CytoSettings.MaxNumberFotoText,MaxNumberFotoText,1000,[f],None,True,True,TRUE,True,False,"Stop condition, based on max number of images ",nan,,,
instrument.measurementSettings.CytoSettings.StopAtFotos,StopAtFotos,TRUE,[b],"lambda v: ""true"" if v else ""false""",True,True,?,True,False,"Stop condition, based on max number of images  (TRUE/FALSE)",nan,,,
instrument.measurementSettings.CytoSettings.StopAtFotosString,StopAtFotosString,1000,[f],None,True,True,?,True,False,"If previous is TRUE, specifies max max number of images ",nan,,,
instrument.measurementSettings.CytoSettings.StopAfterTime,StopAfterTime,TRUE,[b],"lambda v: ""true"" if v else ""false""",True,True,TRUE,True,False,"Stop condition, based on acquisition duration (TRUE/FALSE) --> related to line 50",nan,,,
instrument.measurementSettings.CytoSettings.SaveTextbox,SaveTextbox,C:\Users\Cyto\Documents\My CytoSense\Datafiles\SOTROC\Image-optimisation\20250213,[t],None,False,False,FALSE,False,False,where file is saved locally,nan,,,
instrument.measurementSettings.CytoSettings.FlushCheck,FlushCheck,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,True,False,check box: flush,nan,,,
instrument.measurementSettings.CytoSettings.TellCheck,TellCheck,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"check box : Yes, the speak when doen function.",nan,,,
instrument.measurementSettings.CytoSettings.IsBackgroundOnly,IsBackgroundOnly,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"check box: Special measurement only doing background measurements, not used.",nan,,,
instrument.measurementSettings.CytoSettings.IIFCheck,IIFCheck,TRUE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,True,False,check box: Image in flow enabled for this measurement.,nan,,,
instrument.measurementSettings.CytoSettings.GVCheck,GVCheck,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,check box: Gas Vacuole measurent.  Very old leftover from a device that no longer exists.,nan,,,
instrument.measurementSettings.CytoSettings.BSTCheck,BSTCheck,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Beads/Sheat/Toxin, old version of accessory to add extra biocide and beads.",nan,,,
instrument.measurementSettings.CytoSettings.repeat,repeat,3,[f],None,False,False,FALSE,False,False,Number of times the protocol is repeated,nan,,,
instrument.measurementSettings.CytoSettings.BlockSize,BlockSize,0,[f],None,False,False,FALSE,False,False,Old devices (serial <85) have a blocksize setting used for transfering data.,nan,,,
instrument.measurementSettings.CytoSettings.BlockSize_str,BlockSize_str,-,[t],None,False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.PMTlevels,PMTlevels,SzdLS0tLS1A=,[t],None,False,False,FALSE,False,False,Raw byte values for PMT settings.,nan,,,
instrument.measurementSettings.CytoSettings.PMTlevelsString,PMTlevelsString,"[55 (25x),80 (192x),75 (366x)]",[t],None,False,False,FALSE,False,False,PMT sensitivity values + amplification levels - String representation,nan,,,
instrument.measurementSettings.CytoSettings.PMTlevels_str,PMTlevels_str,"SWS: 55 (25x), Fl Yellow: 80 (192x), FL Red: 75 (366x)",[t],None,True,True,TRUE,True,False,"PMT sensitivity values + channel specified (SWS, FLO, FLY, FLR)",nan,,,
instrument.measurementSettings.CytoSettings.PMTLevelPreset,PMTLevelPreset,Low sensitivity,[t],None,True,True,TRUE,True,False,PMT Level Preset (low/medium/high),nan,,,
instrument.measurementSettings.CytoSettings.Subfolder,Subfolder,nan,[f],None,False,False,FALSE,False,False,"creates a subfolder where file is saved locally, if speficied in protocol",nan,,,
instrument.measurementSettings.CytoSettings.UserRemarks,UserRemarks,nan,[f],None,False,False,FALSE,True,False,comments that can be added while creating the protocol,nan,,,
instrument.measurementSettings.CytoSettings.AutoBlockSize,AutoBlockSize,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,Transfer blocksize for old instruments ( serial < 85),nan,,,
instrument.measurementSettings.CytoSettings.MaxTimeOut,MaxTimeOut,nan,[f],None,False,False,FALSE,False,False,"Maximum time CytoUsb waits for a block of data, (serial < 85)",nan,,,
instrument.measurementSettings.CytoSettings.AdaptiveMaxTimeOut,AdaptiveMaxTimeOut,TRUE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,Indicates the timeout will be adjusted automatically based on particle rate. (serial < 85),nan,,,
instrument.measurementSettings.CytoSettings.MaxTimeOut_str,MaxTimeOut_str,Auto,[t],None,False,False,FALSE,False,False,nan,pour les vieux instruments,,,
instrument.measurementSettings.CytoSettings.SeperateConcentration,SeperateConcentration,TRUE,[b],"lambda v: ""true"" if v else ""false""",False,False,TRUE,True,False,Do a sepreate concentration measurement before the actual measurement.,nan,,,
instrument.measurementSettings.CytoSettings.AdaptiveSamplePumpSpeed,AdaptiveSamplePumpSpeed,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,Change the sample pump speed based on the preconcentration if the particle rate is to high.,nan,,,
instrument.measurementSettings.CytoSettings.MeasureNoiseLevels,MeasureNoiseLevels,TRUE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,True,False,"background noise levels- Do a short measurement without particles, to see what the signal coming from the detectors is when there are no particles.",nan,,,
instrument.measurementSettings.CytoSettings.CalibrateCamera,CalibrateCamera,TRUE,[b],"lambda v: ""true"" if v else ""false""",False,True,TRUE,True,False,Difficult way to say that the system should take a background image (a picture when there are no particles in the flow cell.  This is used for object detection.),JO was talking at the beginning about it and more recently he say not need-check with him,,,
instrument.measurementSettings.CytoSettings.TriggerChannelArray1,TriggerChannelArray1,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",nan,,,
instrument.measurementSettings.CytoSettings.TriggerChannelArray2,TriggerChannelArray2,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",nan,,,
instrument.measurementSettings.CytoSettings.TriggerChannelArray3,TriggerChannelArray3,TRUE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",nan,,,
instrument.measurementSettings.CytoSettings.TriggerChannelArray4,TriggerChannelArray4,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",nan,,,
instrument.measurementSettings.CytoSettings.TriggerChannelArray5,TriggerChannelArray5,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Array of booleans, set to true when the trigger for that channel should be active.",nan,,,
instrument.measurementSettings.CytoSettings.LowCheck1,LowCheck1,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Some old instruments do not PMTs that can be changed from software. And for some you have 2 options, a hich sensitivity one and a low sensitivity one. Here you can select which of the two options you want. This is very old and can be ignored. There are not many (If any) instruments for which this applies.",I do not know because I do not have low and high with my old one,,,
instrument.measurementSettings.CytoSettings.LowCheck2,LowCheck2,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.LowCheck3,LowCheck3,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.LowCheck4,LowCheck4,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.LowCheck5,LowCheck5,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.LowCheck6,LowCheck6,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.LowCheck7,LowCheck7,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.LowCheck8,LowCheck8,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,nan,nan,,,
instrument.measurementSettings.CytoSettings.IIFParameters.Filedate,Filedate,2001-01-01 00:00:00,[d],"[extract_date_utc,extract_time_utc]",False,False,FALSE,False,False,"Relates to the IIF Target file, if one is used.",nan,,,
instrument.measurementSettings.CytoSettings.IIFParameters.CoreSpeed,CoreSpeed,0,[f],None,False,False,FALSE,False,False,Not used,nan,,,
instrument.measurementSettings.CytoSettings.IIFParameters.BeamWidth,BeamWidth,0,[f],None,False,False,FALSE,False,False,Not used,nan,,,
instrument.measurementSettings.CytoSettings.IIFParameters.Curvature,Curvature,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,Not used,nan,,,
instrument.measurementSettings.CytoSettings.IIFParameters.SelectOnCurvature,SelectOnCurvature,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,Not used,nan,,,
instrument.measurementSettings.CytoSettings.IIFParameters.CurvatureLowerTolerance,CurvatureLowerTolerance,0,[f],None,False,False,FALSE,False,False,Not used,nan,,,
instrument.measurementSettings.CytoSettings.IIFParameters.CurvatureUpperTolerance,CurvatureUpperTolerance,0,[f],None,False,False,FALSE,False,False,Not used,nan,,,
instrument.measurementSettings.CytoSettings.SelectedIifMode,SelectedIifMode,Set Definition IIF,[t],None,False,False,FALSE,False,False,"This is a combination, based on all the booleans below.",nan,,,
instrument.measurementSettings.CytoSettings.IIFuseTargetAll,IIFuseTargetAll,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,TRUE,True,False,Imaging mode: target all (TRUE/FALSE),nan,,,
instrument.measurementSettings.CytoSettings.IIFuseTargetRange,IIFuseTargetRange,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,TRUE,True,False,Imaging mode: target range (with a single set) (TRUE/FALSE),nan,,,
instrument.measurementSettings.CytoSettings.IIFuseSmartGrid,IIFuseSmartGrid,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,TRUE,True,False,Imaging mode: smart grid (TRUE/FASLE),if true file rejected ?,,,
instrument.measurementSettings.CytoSettings.SmartGrid_str,SmartGrid_str,nan,[f],None,True,False,TRUE,True,False,"Same as line above, only a string instead of a boolean.",nan,,,
instrument.measurementSettings.CytoSettings.IifSmartGridChannelIds1,IifSmartGridChannelIds1,3,[f],None,True,False,TRUE,True,False,Which smargrid channels to use.,nan,,,
instrument.measurementSettings.CytoSettings.IifSmartGridChannelIds2,IifSmartGridChannelIds2,4,[f],None,True,False,TRUE,True,False,Which smargrid channels to use.,nan,,,
instrument.measurementSettings.CytoSettings.IIFuseFreeFormSelection,IIFuseFreeFormSelection,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.channelX_ID,channelX_ID,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ParameterX_ID,ParameterX_ID,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.StapX,StapX,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ResolutionX,ResolutionX,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ScaleX,ScaleX,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.channelY_ID,channelY_ID,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ParameterY_ID,ParameterY_ID,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.StapY,StapY,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ResolutionY,ResolutionY,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFFreeFormSelection.ScaleY,ScaleY,0,[f],None,False,False,FALSE,False,False,"Not implemented, ignore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFRestrictFwsRange,IIFRestrictFwsRange,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,FALSE,True,False,checked box if you restrict FWS ratio (TRUE/FALSE),if true rejected  ?,,,
instrument.measurementSettings.CytoSettings.IIFFwsRatioMin,IIFFwsRatioMin,"0,1",[t],None,True,True,FALSE,True,False,minimum FWS ratio (to keep if TRUE),nan,,,
instrument.measurementSettings.CytoSettings.IIFFwsRatioMax,IIFFwsRatioMax,10,[f],None,True,True,FALSE,True,False,maximum FWS ratio (to keep if TRUE),nan,,,
instrument.measurementSettings.CytoSettings.IIFFwsRatioRangeCalibration,IIFFwsRatioRangeCalibration,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,"A special measurment used to find the min/max values for FWS, not used anymore.",nan,,,
instrument.measurementSettings.CytoSettings.IIFPhotographLargeParticles,IIFPhotographLargeParticles,FALSE,[b],"lambda v: ""true"" if v else ""false""",True,True,FALSE,False,False,Very large particles are hard to capture via the PC because the take a lot of time to transfer. With this setting the hardware will automatically take a picture of anything above 500 micrometer.,nan,,,
instrument.measurementSettings.CytoSettings.IIFUseSetDefintionSelector,IIFUseSetDefintionSelector,TRUE,[b],"lambda v: ""true"" if v else ""false""",True,True,FALSE,True,False,"checked box if you choose the ""Set Definition"" imaging protocol (TRUE/FALSE)",if false validate smart TRIGGER values dedicated to Micro cells ?,,,
instrument.measurementSettings.CytoSettings.IIFSetDefintionFileName,IIFSetDefintionFileName,C:\Users\Cyto\Documents\My CytoSense\Settings\SetLists\PMTLOWRedMicrob.xml,[t],None,True,True,FALSE,True,False,name of the definition set (.xml),nan,,,
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.SetId,SetId,1,[f],None,False,False,FALSE,False,False,ID of the definition set,"These values are repeated for every set in the set definition that was lladed, so they will be present multiple times.",,,
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.WantImages,WantImages,TRUE,[b],"lambda v: ""true"" if v else ""false""",True,True,FALSE,True,False,do you want picture for the said definition set (TRUE/FALSE),"These values are repeated for every set in the set definition that was lladed, so they will be present multiple times.",,,
instrument.measurementSettings.CytoSettings.IIFSetSelectionInfo.NumberOfImages,NumberOfImages,1000,[f],None,True,True,FALSE,True,False,"if previous is TRUE, how many pictures","These values are repeated for every set in the set definition that was lladed, so they will be present multiple times.",,,
instrument.measurementSettings.CytoSettings.IIFRoiName,IIFRoiName,nan,[f],None,True,True,FALSE,True,False,Region of interest name (usually a few options there),nan,,,
instrument.measurementSettings.CytoSettings.MultiSampler,MultiSampler,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,multisampler option (TRUE/FALSE),nan,,,
instrument.measurementSettings.CytoSettings.MultiSamplerValve,MultiSamplerValve,0,[f],None,False,False,FALSE,False,False,different multisampler options,nan,,,
instrument.measurementSettings.CytoSettings.MultiSamplerPrime,MultiSamplerPrime,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different multisampler options,nan,,,
instrument.measurementSettings.CytoSettings.MultiSamplerClean,MultiSamplerClean,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different multisampler options,nan,,,
instrument.measurementSettings.CytoSettings.CytoSelector,CytoSelector,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,Is  aCytoselector (multipoint selector) used or not?,nan,,,
instrument.measurementSettings.CytoSettings.UseStainingModule,UseStainingModule,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,use of staining module (TRUE/FALSE),nan,,,
instrument.measurementSettings.CytoSettings.CleanStainingModuleAfterwards,CleanStainingModuleAfterwards,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.CleanStainingModuleAfterwardsIncludeSamplePump,CleanStainingModuleAfterwardsIncludeSamplePump,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.IncludeUnstainedMeasurement,IncludeUnstainedMeasurement,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.UseExternalStaining,UseExternalStaining,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.StainIncubateSeconds,StainIncubateSeconds,-1,[f],None,False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.StainFlushWhileIncubate,StainFlushWhileIncubate,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.StainDyeInjectAmount,StainDyeInjectAmount,-1,[f],None,False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.InjectDye1,InjectDye1,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.Dye1Amount,Dye1Amount,-1,[f],None,False,False,FALSE,False,False,different staining module options,nan,,,
instrument.measurementSettings.CytoSettings.InjectDye2,InjectDye2,FALSE,[b],"lambda v: ""true"" if v else ""false""",False,False,FALSE,False,False,different staining module options,nan,,,
